"name","splashText","medalText","pointValue","burnPointValue","pointType","displayType","medalIcon","conversation","scaleScoreForAutoTitan"
"TeamBonusKilledAll","#SCORE_EVENT_TEAM_BONUS_KILLED_ALL_COMBATANTS","#SCORE_EVENT_TEAM_BONUS_KILLED_ALL_COMBATANTS","POINTVALUE_FULL_TEAM_KILL","","","MEDAL","rui/medals/kill_multiple","",false
"TitanAssist","#MEDAL_ASSIST_TITAN","#MEDAL_ASSIST_TITAN","POINTVALUE_ASSIST_TITAN","","","MEDAL GAMEMODE","rui/medals/kill_robot","",false
"TitanCoreEarned","#SCORE_EVENT_CORE_EARNED","#SCORE_EVENT_CORE_EARNED","POINTVALUE_CALLED_IN_TITAN","","","CALLINGCARD MEDAL","rui/medals/titanfall","",false
"Titanfall","#SCORE_EVENT_TITANFALL","#SCORE_EVENT_TITANFALL","POINTVALUE_CALLED_IN_TITAN","","","CALLINGCARD MEDAL","rui/medals/titanfall","",false
"TripleKill","#SCORE_EVENT_TRIPLE_KILL","#SCORE_EVENT_TRIPLE_KILL","POINTVALUE_TRIPLEKILL","","","MEDAL","rui/medals/kill_multiple","kc_triplekill",false
"VictoryKill","#SCORE_EVENT_VICTORY_KILL","#SCORE_EVENT_VICTORY_KILL","POINTVALUE_VICTORYKILL","BURN_METER_SMALL_POINT_VALUE","","CALLINGCARD MEDAL GAMEMODE","rui/medals/kill","",false
"FactionLevelUp","","","","","","","","",false
"TitanLevelUp","","","","","","","","",false
"WeaponLevelUp","","","","","","","","",false
"FortWarAssault","#SCORE_EVENT_FW_ASSAULT","#SCORE_EVENT_FW_ASSAULT","POINTVALUE_FW_ASSAULT","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarDefense","#SCORE_EVENT_FW_DEFENSE","#SCORE_EVENT_FW_DEFENSE","POINTVALUE_FW_DEFENSE","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarPerimeterDefense","#SCORE_EVENT_FW_PERIMETER_DEFENSE","#SCORE_EVENT_FW_PERIMETER_DEFENSE","POINTVALUE_FW_PERIMETER_DEFENSE","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarSiege","#SCORE_EVENT_FW_SIEGE","#SCORE_EVENT_FW_SIEGE","POINTVALUE_FW_SIEGE","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarSnipe","#SCORE_EVENT_FW_RANGED_SUPPORT","#SCORE_EVENT_FW_RANGED_SUPPORT","POINTVALUE_FW_SNIPE","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarBaseConstruction","#SCORE_EVENT_FW_BASE_CONSTRUCTION","#SCORE_EVENT_FW_BASE_CONSTRUCTION","POINTVALUE_FW_BASE_CONSTRUCTION","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarForwardConstruction","#SCORE_EVENT_FW_FORWARD_CONSTRUCTION","#SCORE_EVENT_FW_FORWARD_CONSTRUCTION","POINTVALUE_FW_FORWARD_CONSTRUCTION","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarInvasiveConstruction","#SCORE_EVENT_FW_INVASIVE_CONSTRUCTION","#SCORE_EVENT_FW_INVASIVE_CONSTRUCTION","POINTVALUE_FW_INVASIVE_CONSTRUCTION","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarShieldConstruction","#SCORE_EVENT_FW_SHIELD_CONSTRUCTION","#SCORE_EVENT_FW_SHIELD_CONSTRUCTION","POINTVALUE_FW_SHIELD_CONSTRUCTION","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarResourceDenial","#SCORE_EVENT_FW_RESOURCE_DENIAL","#SCORE_EVENT_FW_RESOURCE_DENIAL","POINTVALUE_FW_RESOURCE_DENIAL","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarTowerDamage","#SCORE_EVENT_FW_TOWER_DAMAGE","#SCORE_EVENT_FW_TOWER_DAMAGE","POINTVALUE_FW_TOWER_DAMAGE","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarTowerDefense","#SCORE_EVENT_FW_TOWER_DEFENSE","#SCORE_EVENT_FW_TOWER_DEFENSE","POINTVALUE_FW_TOWER_DEFENSE","","DEFENSE","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarTeamTurretControlBonus_One","#SCORE_EVENT_FW_TURRET_CONTROL_ONE","#SCORE_EVENT_FW_TURRET_CONTROL_ONE","POINTVALUE_FW_TEAM_TURRET_CONTROL","","DEFENSE","MEDAL","rui/medals/hardpoint","",false
"FortWarTeamTurretControlBonus_Two","#SCORE_EVENT_FW_TURRET_CONTROL_TWO","#SCORE_EVENT_FW_TURRET_CONTROL_TWO","POINTVALUE_FW_TEAM_TURRET_CONTROL","","DEFENSE","MEDAL","rui/medals/hardpoint","",false
"FortWarTeamTurretControlBonus_Three","#SCORE_EVENT_FW_TURRET_CONTROL_THREE","#SCORE_EVENT_FW_TURRET_CONTROL_THREE","POINTVALUE_FW_TEAM_TURRET_CONTROL","","DEFENSE","MEDAL","rui/medals/hardpoint","",false
"FortWarTeamTurretControlBonus_Four","#SCORE_EVENT_FW_TURRET_CONTROL_FOUR","#SCORE_EVENT_FW_TURRET_CONTROL_FOUR","POINTVALUE_FW_TEAM_TURRET_CONTROL","","DEFENSE","MEDAL","rui/medals/hardpoint","",false
"FortWarTeamTurretControlBonus_Five","#SCORE_EVENT_FW_TURRET_CONTROL_FIVE","#SCORE_EVENT_FW_TURRET_CONTROL_FIVE","POINTVALUE_FW_TEAM_TURRET_CONTROL","","DEFENSE","MEDAL","rui/medals/hardpoint","",false
"FortWarTeamTurretControlBonus_Six","#SCORE_EVENT_FW_TURRET_CONTROL_SIX","#SCORE_EVENT_FW_TURRET_CONTROL_SIX","POINTVALUE_FW_TEAM_TURRET_CONTROL","","DEFENSE","MEDAL","rui/medals/hardpoint","",false
"FortWarSecuringGatheredResources","#SCORE_EVENT_FW_SECURING_RESOURCES","#SCORE_EVENT_FW_SECURING_RESOURCES","POINTVALUE_FW_SECURING_RESOURCES","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"FortWarShieldDestroyed","#SCORE_EVENT_FW_DESTROYED_TURRET_SHIELD","#SCORE_EVENT_FW_DESTROYED_TURRET_SHIELD","POINTVALUE_FW_DESTROY_TURRET_SHIELD","","ASSAULT","MEDAL GAMEMODE","rui/medals/hardpoint","",false
"HuntedEliminatePilot","#SCORE_EVENT_HUNTED_HUNTER_KILLED","#SCORE_EVENT_HUNTED_HUNTER_KILLED","POINTVALUE_HUNTED_ELIMINATE_HUNTER","","DEFENSE","ATTRITION MEDAL GAMEMODE","rui/medals/kill","",false
"HuntedEliminateGrunt","#SCORE_EVENT_HUNTED_GRUNT_KILLED","#SCORE_EVENT_HUNTED_GRUNT_KILLED","POINTVALUE_HUNTED_ELIMINATE_GRUNT","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill","",false
"HuntedEliminateSquad","#SCORE_EVENT_HUNTED_SQUAD_KILLED","#SCORE_EVENT_HUNTED_SQUAD_KILLED","POINTVALUE_HUNTED_ELIMINATE_SQUAD","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_multiple","",false
"HuntedAquireAsset","#SCORE_EVENT_HUNTED_AQUIRE_ASSET","#SCORE_EVENT_HUNTED_AQUIRE_ASSET","POINTVALUE_HUNTED_AQUIRE_ASSET","","DEFENSE","ATTRITION MEDAL GAMEMODE","rui/medals/medal_prototype","",false
"HuntedSecureAsset","#SCORE_EVENT_HUNTED_AQUIRE_SECURED","#SCORE_EVENT_HUNTED_AQUIRE_SECURED","POINTVALUE_HUNTED_SECURE_ASSET","","DEFENSE","ATTRITION MEDAL GAMEMODE","rui/medals/medal_prototype","",false
"HuntedExtractAsset","#SCORE_EVENT_HUNTED_AQUIRE_EXTRACTED","#SCORE_EVENT_HUNTED_AQUIRE_EXTRACTED","POINTVALUE_HUNTED_EXTRACT_ASSET","","DEFENSE","ATTRITION MEDAL GAMEMODE","rui/medals/medal_prototype","",false
"HuntedSurvival","#SCORE_EVENT_HUNTED_OBJECTIVE_SURVIVAL","#SCORE_EVENT_HUNTED_OBJECTIVE_SURVIVAL","POINTVALUE_HUNTED_OBJECTIVE_SURVIVAL","","DEFENSE","ATTRITION MEDAL GAMEMODE","rui/medals/medal_prototype","",false
"HuntedMissionSurvival","#SCORE_EVENT_HUNTED_MISSION_SURVIVAL","#SCORE_EVENT_HUNTED_MISSION_SURVIVAL","POINTVALUE_HUNTED_MISSION_SURVIVAL","","DEFENSE","ATTRITION MEDAL GAMEMODE","rui/medals/medal_prototype","",false
"MFDMarked","#SCORE_EVENT_MARKED_FOR_DEATH_TARGET","#SCORE_EVENT_MARKED_FOR_DEATH_TARGET","POINTVALUE_MARKED_TARGET","","","CALLINGCARD MEDAL","rui/medals/titanfall","",false
"BombPlantRaid","#SCORE_EVENT_BOMB_PLANT_POINTS","#SCORE_EVENT_BOMB_PLANT_POINTS","GAMEMODE_RAID_SCORE_PLANT","","ASSAULT","MEDAL GAMEMODE","rui/medals/bomb","",false
"ATCOOPAirDroneKilled","#SCORE_EVENT_AT_AIR_DRONE_KILLED","#SCORE_EVENT_AT_AIR_DRONE_KILLED","ATCOOP_SCORE_AIR_DRONE","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"ATCOOPBossKilled","#SCORE_EVENT_AT_BOSS_KILLED","#SCORE_EVENT_AT_BOSS_KILLED","ATCOOP_SCORE_BOSS","","ASSAULT","CALLINGCARD MEDAL GAMEMODE","rui/medals/kill_robot","",false
"ATCOOPBountySurvived","#SCORE_EVENT_AT_BOUNTY_SURVIVED","#SCORE_EVENT_AT_BOUNTY_SURVIVED","ATCOOP_SCORE_BOUNTY_SURVIVAL","","","ATTRITION MEDAL GAMEMODE","rui/medals/victory","",false
"ATCOOPGruntKilled","#SCORE_EVENT_AT_GRUNT_KILLED","#SCORE_EVENT_AT_GRUNT_KILLED","ATCOOP_SCORE_GRUNT","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill","",false
"ATCOOPMegaTurretKilled","#SCORE_EVENT_AT_MEGA_TURRET_KILLED","#SCORE_EVENT_AT_MEGA_TURRET_KILLED","ATCOOP_SCORE_MEGATURRET","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"ATCOOPSentryTurretKilled","#SCORE_EVENT_AT_SENTRY_TURRET_KILLED","#SCORE_EVENT_AT_SENTRY_TURRET_KILLED","ATCOOP_SCORE_SENTRYTURRET","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"ATCOOPPilotKilled","#SCORE_EVENT_AT_PILOT_KILLED","#SCORE_EVENT_AT_PILOT_KILLED","ATCOOP_SCORE_PILOT","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill","",false
"ATCOOPProwlerKilled","#SCORE_EVENT_AT_PROWLER_KILLED","#SCORE_EVENT_AT_PROWLER_KILLED","ATCOOP_SCORE_PROWLER","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill","",false
"ATCOOPSpectreKilled","#SCORE_EVENT_AT_SPECTRE_KILLED","#SCORE_EVENT_AT_SPECTRE_KILLED","ATCOOP_SCORE_SPECTRE","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"ATCOOPStalkerKilled","#SCORE_EVENT_AT_STALKER_KILLED","#SCORE_EVENT_AT_STALKER_KILLED","ATCOOP_SCORE_STALKER","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"ATCOOPSuperSpectreKilled","#SCORE_EVENT_AT_SUPER_SPECTRE_KILLED","#SCORE_EVENT_AT_SUPER_SPECTRE_KILLED","ATCOOP_SCORE_SUPER_SPECTRE","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"ATCOOPTitanDoomed","#SCORE_EVENT_AT_TITAN_DOOMED","#SCORE_EVENT_AT_TITAN_DOOMED","ATCOOP_SCORE_TITAN","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"ATCOOPTitanKilled","#SCORE_EVENT_AT_TITAN_DOOMED","#SCORE_EVENT_AT_TITAN_DOOMED","ATCOOP_SCORE_TITAN","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"ATCOOPCashedBonus","#SCORE_EVENT_AT_CASHED_BONUS","#SCORE_EVENT_AT_CASHED_BONUS","ATCOOP_SCORE_BONUS","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/medal_prototype","",false
"ATCOOPBonusStolen","#SCORE_EVENT_AT_BONUS_STOLEN","#SCORE_EVENT_AT_BONUS_STOLEN","ATCOOP_SCORE_BONUS_STOLEN","","ASSAULT","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"FDAirDroneKilled","#SCORE_EVENT_AT_AIR_DRONE_KILLED","#SCORE_EVENT_AT_AIR_DRONE_KILLED","FD_SCORE_AIR_DRONE","","","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"FDGruntKilled","#SCORE_EVENT_AT_GRUNT_KILLED","#SCORE_EVENT_AT_GRUNT_KILLED","FD_SCORE_GRUNT","","","ATTRITION MEDAL GAMEMODE","rui/medals/kill","",false
"FDSpectreKilled","#SCORE_EVENT_AT_SPECTRE_KILLED","#SCORE_EVENT_AT_SPECTRE_KILLED","FD_SCORE_SPECTRE","","","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"FDStalkerKilled","#SCORE_EVENT_AT_STALKER_KILLED","#SCORE_EVENT_AT_STALKER_KILLED","FD_SCORE_STALKER","","","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"FDSuperSpectreKilled","#SCORE_EVENT_AT_SUPER_SPECTRE_KILLED","#SCORE_EVENT_AT_SUPER_SPECTRE_KILLED","FD_SCORE_SUPER_SPECTRE","","","ATTRITION MEDAL GAMEMODE","rui/medals/kill_robot","",false
"FDTitanKilled","#SCORE_EVENT_AT_TITAN_DOOMED","#SCORE_EVENT_AT_TITAN_DOOMED","FD_SCORE_TITAN","","","MEDAL GAMEMODE","rui/medals/kill_robot","",false
"FDEnemiesKilled","#SCORE_EVENT_FD_ENEMIES_KILLED","#SCORE_EVENT_FD_ENEMIES_KILLED","FD_SCORE_ENEMIES","","","MEDAL GAMEMODE","rui/medals/kill","",false
"FDWaveMVP","#SCORE_EVENT_FD_WAVE_MVP","#SCORE_EVENT_FD_WAVE_MVP","FD_SCORE_MVP","","","MEDAL_FORCED GAMEMODE CALLINGCARD","rui/medals/mvp","",false
"FDTeamFinalWave","#SCORE_EVENT_FD_TEAM_FINAL_WAVE","#SCORE_EVENT_FD_TEAM_FINAL_WAVE","FD_SCORE_TEAM_FINAL_WAVE","","","MEDAL GAMEMODE","rui/medals/medal_prototype","",false
"FDTeamWave","#SCORE_EVENT_FD_TEAM_WAVE","#SCORE_EVENT_FD_TEAM_WAVE","FD_SCORE_TEAM_WAVE","","","MEDAL_FORCED GAMEMODE","rui/medals/harvester_protect","",false
"FDTeamFlawlessWave","#SCORE_EVENT_FD_TEAM_FLAWLESS_WAVE","#SCORE_EVENT_FD_TEAM_FLAWLESS_WAVE","FD_SCORE_TEAM_FLAWLESS_WAVE","","","MEDAL_FORCED GAMEMODE","rui/medals/shielded_harvester","",false
"PasTitanHunter","#GEAR_AT_HUNTER_KIT","#GEAR_AT_HUNTER_KIT","","","","MEDAL","rui/medals/kill_robot","",false
"Execution","#SCORE_EVENT_EXECUTION","#SCORE_EVENT_EXECUTION","0","BURN_METER_LARGE_POINT_VALUE","","MEDAL","rui/medals/kill","",false
"FDRepairTurret","#SCORE_EVENT_REPAIR_TURRET","#SCORE_EVENT_REPAIR_TURRET","FD_SCORE_REPAIR_TURRET","","","MEDAL GAMEMODE","rui/medals/medal_prototype","",false
"FDDidntDie","#SCORE_EVENT_DIDNT_DIE","#SCORE_EVENT_DIDNT_DIE","FD_SCORE_DIDNT_DIE","","","MEDAL_FORCED GAMEMODE","rui/medals/heal","",false
"FDShieldHarvester","#SCORE_EVENT_FD_SHIELD_HARVESTER","#SCORE_EVENT_FD_SHIELD_HARVESTER","FD_SCORE_SHIELD_HARVESTER","","","MEDAL GAMEMODE","rui/medals/shielded_harvester","",false
"FDSonarPulse","#SCORE_EVENT_FD_SONAR_PULSE","#SCORE_EVENT_FD_SONAR_PULSE","FD_SCORE_SONAR_PULSE","","","MEDAL GAMEMODE","rui/medals/medal_prototype","",false
"FDArcTrapTriggered","#SCORE_EVENT_FD_ARC_TRAP_TRIGGERED","#SCORE_EVENT_FD_ARC_TRAP_TRIGGERED","FD_SCORE_ARC_TRAP_TRIGGERED","","","MEDAL GAMEMODE","rui/medals/kill_robot","",false
"FDTetherTriggered","#SCORE_EVENT_FD_TETHER_TRAP_TRIGGERED","#SCORE_EVENT_FD_TETHER_TRAP_TRIGGERED","FD_SCORE_TETHER_TRAP_TRIGGERED","","","MEDAL GAMEMODE","rui/medals/kill_robot","",false
"FDArcWave","#SCORE_EVENT_FD_ARC_WAVE","#SCORE_EVENT_FD_ARC_WAVE","FD_SCORE_ARC_WAVE","","","MEDAL GAMEMODE","rui/medals/medal_prototype","",false
"FDTeamHeal","#SCORE_EVENT_FD_TEAM_HEAL","#SCORE_EVENT_FD_TEAM_HEAL","FD_SCORE_TEAM_HEAL","","","MEDAL GAMEMODE","rui/medals/heal","",false
"FDDamageBonus","#SCORE_EVENT_FD_DAMAGE_BONUS","#SCORE_EVENT_FD_DAMAGE_BONUS","FD_SCORE_DAMAGE_BONUS","","","MEDAL_FORCED GAMEMODE SHOW_SCORE","rui/medals/medal_prototype","",false
"FDHealingBonus","#SCORE_EVENT_FD_HEALING_BONUS","#SCORE_EVENT_FD_HEALING_BONUS","FD_SCORE_HEALING_BONUS","","","MEDAL_FORCED GAMEMODE SHOW_SCORE","rui/medals/heal","",false
"FDSupportBonus","#SCORE_EVENT_FD_SUPPORT_BONUS","#SCORE_EVENT_FD_SUPPORT_BONUS","FD_SCORE_SUPPORT_BONUS","","","MEDAL_FORCED GAMEMODE SHOW_SCORE","rui/medals/kill_robot","",false
"Sur_DownedPilot","#SCORE_EVENT_SUR_DOWNED_PILOT_HUD","#SCORE_EVENT_SUR_DOWNED_PILOT","SUR_SCORE_DOWNED_PILOT","","","BIG MEDAL CENTER","rui/medals/kill","",false
"EliminatePilotAssist","#SCORE_EVENT_ELIMINATED_ASSIST","#MEDAL_ELIMINATED_PILOT","","","","BIG MEDAL CENTER","rui/medals/kill","",false
"Control_Elimination","#SCORE_EVENT_CONTROL_ELIMINATION","","","","","","rui/hud/gamestate/player_kills_icon","",false
"Control_Damage","","","","","","","rui/hud/gamestate/player_damage_dealt_icon","",false
"Control_ContestingObjective","#SCORE_EVENT_CONTROL_CONTEST_OBJECTIVE","","","","","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_CapturedObjective","#SCORE_EVENT_CONTROL_CAPTURE_OBJECTIVE","","","","","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_NeutralizedObjective","#SCORE_EVENT_CONTROL_NEUTRAL_OBJECTIVE","","","","","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_BountyClaimed","#SCORE_EVENT_CONTROL_BOUNTY_CLAIMED","","","","","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_DefendingObjective","","","","","","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_LockoutCanceled","#SCORE_EVENT_CONTROL_LOCKOUT_CANCELED","","","","","","","",false
"Control_Exp_Elimination","#EXP_EVENT_CONTROL_ELIMINATION","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_Assist","#EXP_EVENT_CONTROL_ASSIST","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_ContestingObjective","#EXP_EVENT_CONTROL_CONTEST_OBJECTIVE","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_CapturingObjective","#EXP_EVENT_CONTROL_CAPTURING_OBJECTIVE","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_CapturedObjective","#EXP_EVENT_CONTROL_CAPTURE_OBJECTIVE","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_TeamCapturedObjective","#EXP_EVENT_CONTROL_TEAMCAPTURE_OBJECTIVE","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_NeutralizedObjective","#EXP_EVENT_CONTROL_NEUTRAL_OBJECTIVE","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_TeamNeutralizedObjective","#EXP_EVENT_CONTROL_TEAMNEUTRAL_OBJECTIVE","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_BountyClaimed","#EXP_EVENT_CONTROL_BOUNTY_CLAIMED","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_DefendingObjective","#EXP_EVENT_CONTROL_DEFEND_OBJECTIVE","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_DefendingActiveObjective","#EXP_EVENT_CONTROL_DEFEND_ACTIVEOBJECTIVE","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_GunRackUse","#EXP_EVENT_CONTROL_GUNRACKUSE","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_WithSquadBonus","#EXP_EVENT_CONTROL_WITHSQUADBONUS","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_AttackerKill","#EXP_EVENT_CONTROL_ATTACKERKILL","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_DefenderKill","#EXP_EVENT_CONTROL_DEFENDERKILL","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_HighTierKill","#EXP_EVENT_CONTROL_HIGHTIERKILL","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_ReallyHighTierKill","#EXP_EVENT_CONTROL_REALLYHIGHTIERKILL","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_ExpReset","","","","","ASSAULT","","","",false
"Control_Exp_SpawnOnBase","#EXP_EVENT_CONTROL_SPAWNONBASE","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_Respawn","#EXP_EVENT_CONTROL_RESPAWN","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_KillEXPLeader","#EXP_EVENT_CONTROL_KILL_EXPLEADER","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_TeamCanceledLockout","#EXP_EVENT_CONTROL_TEAMLOCKOUT_CANCELED","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_MRBCarrier","#EXP_EVENT_CONTROL_MRB_CARRIER","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"Control_Exp_MRBDeployed","#EXP_EVENT_CONTROL_MRB_DEPLOYED","","","","ASSAULT","","rui/hud/gametype_icons/control/control_ratings","",false
"FreeDM_KillingSpree","#SCORE_EVENT_FREEDM_KILLINGSPREE","#SCORE_EVENT_FREEDM_KILLING_SPREE","POINTVALUE_KILLINGSPREE","","","MEDAL","rui/medals/kill_multiple","kc_killingspree",false
"string","string","string","string","string","string","string","asset_noprecache","string","bool"
